ID: dea38517494236fe | Subject: 上午题 #1 计算机系统题目 | Stem: 关于链表操作中，说法正确的是（  ）。（2024年真题）
ID: 8c4787cef8e1f241 | Subject: 上午题 #12、13 软件工程 上、下 题目 | Stem: 某⽂件管理系统在磁盘上建⽴了位示图（bitmap），记录磁盘的使⽤情况。若计算机系统的 字⻓为128 位，磁盘的容量为1024 GB，物理块的⼤⼩为8MB，那么该位示图的⼤⼩为（ ） 个字（2024年真题）
ID: 311e9182464f1657 | Subject: 上午题 #12、13 软件工程 上、下 题目 | Stem: 以下不属于函数依赖的 Armstrong 公理系统的是（ ）。（2024年真题）
ID: d6419c4e2e68393b | Subject: 上午题 #2 程序设计语言题目 | Stem: 在关系表中选出若⼲属性列组成新的关系表，可以使⽤（ ）操作实现（2024年真题）
ID: 7256a49b35edcba9 | Subject: 上午题 #2 程序设计语言题目 | Stem: 下⾯（ ）范式包含多值依赖（2024年真题）
ID: cfb4ba968441745e | Subject: 上午题 #2 程序设计语言题目 | Stem: ⽤于收回 SQL 访问控制权限的操作是（ ）（2024年真题）
ID: 577ceaebc017e942 | Subject: 上午题 #10 操作系统题目 | Stem: 数据库的基本表、存储⽂件和视图的结构分别对应（ ）。（2024年真题）
ID: 1785fc4d2258b338 | Subject: 上午题 #12、13 软件工程 上、下 题目 | Stem: 观察者（Observer）模式适⽤于（  ）。（2024年真题）
ID: 541cd83c420aa640 | Subject: 上午题 #12、13 软件工程 上、下 题目 | Stem: 在 C/C++ 程序中，对于函数中定义的⾮静态局部变量，其存储空间在（ ）分配。（2024年真题）
ID: d6a0f55c78bca5af | Subject: 上午题 #8 UML题目 | Stem: ⾯向对象软件从不同层次进⾏测试。（ ）层测试类中定义的每个⽅法，相当于传统软件测试 中的单元测试。 A.模板  C.类  B.系统   D 算法 42.软件交付之后，由于软硬件环境发⽣变化⽽对软件进⾏修改的⾏为属于（ ）维护（2024年真题）
ID: 557e4af7a575c519 | Subject: 上午题 #6 数据库题目 | Stem: 在采⽤定点⼆进制的运算器中，减法运算⼀般是通过（ ）来实现的。（2024年真题）
ID: 4f0c77274c679427 | Subject: 上午题 #3、4 数据结构 上、下 题目 | Stem: 对于定点纯⼩数的数据编码，下述说法正确的是（）。（2024年真题）
ID: 229b974a5e391cd0 | Subject: 上午题 #16 算法题目 | Stem: 软件⽂档在软件⽣存期中起着重要的作⽤，其作⽤不包括（ ）。（2024年真题）
ID: 57b3c1171696ce01 | Subject: 上午题 #16 算法题目 | Stem: 某个软件，不符合公司的战略决策，属于（  ）⻛险（2024年真题）
